COUNTRY,UNIVERSITY,Approved Major,Specific Major as Listed by University,Deadline Passed as of Jan 3?,,,,
United States,"University of California, Davis",Cultural Studies,Native American Studies,Yes,,,,
United States,"University of California, Davis",Cultural Studies,Russian,Yes,,,,
United States,"University of California, Davis",Cultural Studies,Spanish,Yes,,,,
United States,"University of California, Los Angeles (UCLA)",Cultural Studies,African American Studies,Yes,,,,
United States,"University of California, Los Angeles (UCLA)",Cultural Studies,African and Middle Eastern Studies,Yes,,,,
United States,"University of California, Los Angeles (UCLA)",Cultural Studies,American Indian Studies,Yes,,,,
United States,"University of California, Los Angeles (UCLA)",Cultural Studies,American Literature and Culture,Yes,,,,
United States,"University of California, Los Angeles (UCLA)",Cultural Studies,Ancient Near East and Egyptology,Yes,,,,
United States,"University of California, Los Angeles (UCLA)",Cultural Studies,Arabic,Yes,,,,
United States,"University of California, Los Angeles (UCLA)",Cultural Studies,Asian American Studies,Yes,,,,
United States,"University of California, Los Angeles (UCLA)",Cultural Studies,Asian Humanities,Yes,,,,
United States,"University of California, Los Angeles (UCLA)",Cultural Studies,Asian Religions,Yes,,,,
United States,"University of California, Los Angeles (UCLA)",Cultural Studies,Asian Studies,Yes,,,,
United States,"University of California, Los Angeles (UCLA)",Cultural Studies,Central and East European Languages and Cultures,Yes,,,,
United States,"University of California, Los Angeles (UCLA)",Cultural Studies,Chicana and Chicano Studies,Yes,,,,
United States,"University of California, Los Angeles (UCLA)",Cultural Studies,Classical Civilization,Yes,,,,
United States,"University of California, Los Angeles (UCLA)",Cultural Studies,English,Yes,,,,
United States,"University of California, Los Angeles (UCLA)",Cultural Studies,European Studies,Yes,,,,
United States,"University of California, Los Angeles (UCLA)",Cultural Studies,French,Yes,,,,
United States,"University of California, Los Angeles (UCLA)",Cultural Studies,French and Linguistics,Yes,,,,
United States,"University of California, Los Angeles (UCLA)",Cultural Studies,German,Yes,,,,
United States,"University of California, Los Angeles (UCLA)",Cultural Studies,Global Studies,Yes,,,,
United States,"University of California, Los Angeles (UCLA)",Cultural Studies,Greek,Yes,,,,
United States,"University of California, Los Angeles (UCLA)",Cultural Studies,Greek and Latin,Yes,,,,
United States,"University of California, Los Angeles (UCLA)",Cultural Studies,Iranian Studies,Yes,,,,
United States,"University of California, Los Angeles (UCLA)",Cultural Studies,Italian,Yes,,,,
United States,"University of California, Los Angeles (UCLA)",Cultural Studies,Jewish Studies,Yes,,,,
United States,"University of California, Los Angeles (UCLA)",Cultural Studies,Korean,Yes,,,,
United States,"University of California, Los Angeles (UCLA)",Cultural Studies,Latin American Studies,Yes,,,,
United States,"University of California, Los Angeles (UCLA)",Cultural Studies,Linguistics and Asian Languages and Cultures,Yes,,,,
United States,"University of California, Los Angeles (UCLA)",Cultural Studies,Middle Eastern Studies,Yes,,,,
United States,"University of California, Los Angeles (UCLA)",Cultural Studies,Russian Studies,Yes,,,,
United States,"University of California, Los Angeles (UCLA)",Cultural Studies,Spanish and Community and Culture,Yes,,,,
United States,"University of California, Los Angeles (UCLA)",Cultural Studies,Spanish and Linguistics,Yes,,,,
United States,"University of California, Los Angeles (UCLA)",Cultural Studies,Spanish and Portuguese,Yes,,,,
United States,"University of California, Los Angeles (UCLA)",Cultural Studies,World Arts and Cultures,Yes,,,,
United States,"University of California, San Diego",Cultural Studies,Ethnic Studies,Yes,,,,
United States,"University of California, Santa Barbara",Cultural Studies,Asian American Studies,Yes,,,,
United States,"University of California, Santa Barbara",Cultural Studies,Black Studies,Yes,,,,
United States,"University of California, Santa Barbara",Cultural Studies,Chicana Studies,Yes,,,,
United States,"University of California, Santa Barbara",Cultural Studies,Chinese,Yes,,,,
United States,"University of California, Santa Barbara",Cultural Studies,Classics – Greek and Roman Culture Emphasis,Yes,,,,
United States,"University of California, Santa Barbara",Cultural Studies,East Asian Languages and Cultural Studies,Yes,,,,
United States,"University of California, Santa Barbara",Cultural Studies,Global Studies,Yes,,,,
United States,"University of California, Santa Barbara",Cultural Studies,Interdisciplinary Studies,Yes,,,,
United States,"University of California, Santa Barbara",Cultural Studies,Middle East Studies,Yes,,,,
United States,University of Colorado Boulder,Cultural Studies,Asian Studies (BA),,,,,
United States,University of Colorado Boulder,Cultural Studies,Classics (BA),,,,,
United States,University of Colorado Boulder,Cultural Studies,Ethnic Studies (BA),,,,,
United States,University of Colorado Boulder,Cultural Studies,Jewish Studies (BA),,,,,
United States,University of Colorado Boulder,Cultural Studies,Russian Studies (BA),,,,,
United States,University of Colorado Boulder,Cultural Studies,Women & Gender Studies (BA),,,,,
United States,University of Illinois at Urbana-Champaign,Cultural Studies,African American Studies,Yes,,,,
United States,University of Illinois at Urbana-Champaign,Cultural Studies,Asian American Studies,Yes,,,,
United States,University of Illinois at Urbana-Champaign,Cultural Studies,East Asian Languages and Cultures,Yes,,,,
United States,University of Illinois at Urbana-Champaign,Cultural Studies,Interdisciplinary Studies,Yes,,,,
United States,University of Illinois at Urbana-Champaign,Cultural Studies,Italian,Yes,,,,
United States,University of Illinois at Urbana-Champaign,Cultural Studies,Latina – Latino Studies,Yes,,,,
United States,University of Illinois at Urbana-Champaign,Cultural Studies,Latin American Studies,Yes,,,,
United States,University of Illinois at Urbana-Champaign,Cultural Studies,Portuguese,Yes,,,,
United States,University of Illinois at Urbana-Champaign,Cultural Studies,"Russian, East European, and Eurasian Studies",Yes,,,,
United States,"University of Maryland, College Park",Cultural Studies,African-American Studies,Yes,,,,
United States,"University of Maryland, College Park",Cultural Studies,American Studies,Yes,,,,
United States,"University of Maryland, College Park",Cultural Studies,Arabic Studies,Yes,,,,
United States,"University of Maryland, College Park",Cultural Studies,"Central European, Russian and Eurasian Studies",Yes,,,,
United States,"University of Maryland, College Park",Cultural Studies,Jewish Studies,Yes,,,,
United States,"University of Maryland, College Park",Cultural Studies,Persian Studies,Yes,,,,
United States,"University of Maryland, College Park",Cultural Studies,Spanish,Yes,,,,
United States,"University of Maryland, College Park",Cultural Studies,Women’s Studies,Yes,,,,
United States,University of Minnesota,Cultural Studies,African American and African Studies,Yes,,,,
United States,University of Minnesota,Cultural Studies,American Studies,Yes,,,,
United States,University of Minnesota,Cultural Studies,American Indian Studies,Yes,,,,
United States,University of Minnesota,Cultural Studies,Asian and Middle Eastern Studies,Yes,,,,
United States,University of Minnesota,Cultural Studies,Chicano and Latino Studies,Yes,,,,
United States,University of Minnesota,Cultural Studies,Cultural Studies and Comparative Literature,Yes,,,,
United States,University of Minnesota,Cultural Studies,French Studies,Yes,,,,
United States,University of Minnesota,Cultural Studies,French and Italian Studies,Yes,,,,
United States,University of Minnesota,Cultural Studies,"German, Scandinavian, Dutch",Yes,,,,
United States,University of Minnesota,Cultural Studies,Global Studies,Yes,,,,
United States,University of Minnesota,Cultural Studies,Italian Studies,Yes,,,,
United States,University of Minnesota,Cultural Studies,Jewish Studies,Yes,,,,
United States,University of Minnesota,Cultural Studies,Ojibwe Language,Yes,,,,
United States,University of Minnesota,Cultural Studies,Russian,Yes,,,,
United States,University of Minnesota,Cultural Studies,Spanish and Portuguese Studies,Yes,,,,
United States,University of Minnesota,Cultural Studies,Spanish Studies,Yes,,,,
United States,University of North Carolina Chapel Hill,Cultural Studies,"African, African American, and Diaspora Studies",Yes,,,,
United States,University of North Carolina Chapel Hill,Cultural Studies,American Indian and Indigenous Studies,Yes,,,,
United States,University of North Carolina Chapel Hill,Cultural Studies,American Studies,Yes,,,,
United States,University of North Carolina Chapel Hill,Cultural Studies,Arab Cultures,Yes,,,,
United States,University of North Carolina Chapel Hill,Cultural Studies,Asian Studies,Yes,,,,
United States,University of North Carolina Chapel Hill,Cultural Studies,Cultural Studies,Yes,,,,
United States,University of North Carolina Chapel Hill,Cultural Studies,Folklore,Yes,,,,
United States,University of North Carolina Chapel Hill,Cultural Studies,French and Francophone Studies,Yes,,,,
United States,University of North Carolina Chapel Hill,Cultural Studies,German Literature and Culture,Yes,,,,
United States,University of North Carolina Chapel Hill,Cultural Studies,"German Media, Arts, and Culture",Yes,,,,
United States,University of North Carolina Chapel Hill,Cultural Studies,Global American Studies,Yes,,,,
United States,University of North Carolina Chapel Hill,Cultural Studies,Global Studies,Yes,,,,
United States,University of North Carolina Chapel Hill,Cultural Studies,Greek,Yes,,,,
United States,University of North Carolina Chapel Hill,Cultural Studies,Hispanic Literatures and Cultures,Yes,,,,
United States,University of North Carolina Chapel Hill,Cultural Studies,Japanese,Yes,,,,
United States,University of North Carolina Chapel Hill,Cultural Studies,Jewish Studies,Yes,,,,
United States,University of North Carolina Chapel Hill,Cultural Studies,Latin,Yes,,,,
United States,University of North Carolina Chapel Hill,Cultural Studies,Latin American Studies,Yes,,,,
United States,University of North Carolina Chapel Hill,Cultural Studies,Russian Language and Culture,Yes,,,,
United States,University of North Carolina Chapel Hill,Cultural Studies,South Asian Studies,Yes,,,,
United States,University of North Carolina Chapel Hill,Cultural Studies,Southern Studies,Yes,,,,
United States,University of Pittsburgh,Cultural Studies,Slavic Studies,,,,,
United States,University of Texas at Austin,Cultural Studies,Asian American Studies,,,,,
United States,University of Texas at Austin,Cultural Studies,Asian Cultures and Languages,,,,,
United States,University of Texas at Austin,Cultural Studies,French,,,,,
United States,University of Texas at Austin,Cultural Studies,Latin American Studies,,,,,
United States,University of Texas at Austin,Cultural Studies,Middle Eastern Languages and Cultures,,,,,
United States,University of Washington,Cultural Studies,American Ethnic Studies,Yes,,,,
United States,University of Washington,Cultural Studies,American Indian Studies,Yes,,,,
United States,University of Washington,Cultural Studies,Arabic and Islamic Studies,Yes,,,,
United States,University of Washington,Cultural Studies,Asia Studies,Yes,,,,
United States,University of Washington,Cultural Studies,Asian Studies,Yes,,,,
United States,University of Washington,Cultural Studies,Asian Languages and Cultures,Yes,,,,
United States,University of Washington,Cultural Studies,Chinese,Yes,,,,
United States,University of Washington,Cultural Studies,Danish,Yes,,,,
United States,University of Washington,Cultural Studies,"Eastern European Languages, Literature, and Culture",Yes,,,,
United States,University of Washington,Cultural Studies,European Studies,Yes,,,,
United States,University of Washington,Cultural Studies,Finnish,Yes,,,,
United States,University of Washington,Cultural Studies,French Studies,Yes,,,,
United States,University of Washington,Cultural Studies,German,Yes,,,,
United States,University of Washington,Cultural Studies,Hebrew Bible and Ancient Near Eastern Studies,Yes,,,,
United States,University of Washington,Cultural Studies,International Studies,Yes,,,,
United States,University of Washington,Cultural Studies,Italian,Yes,,,,
United States,University of Washington,Cultural Studies,Japanese,Yes,,,,
United States,University of Washington,Cultural Studies,Jewish Studies,Yes,,,,
United States,University of Washington,Cultural Studies,Korean,Yes,,,,
United States,University of Washington,Cultural Studies,Latin America and Caribbean Studies,Yes,,,,
United States,University of Washington,Cultural Studies,Modern Hebrew and Israel Studies,Yes,,,,
United States,University of Washington,Cultural Studies,Near Eastern Studies,Yes,,,,
United States,University of Washington,Cultural Studies,Norwegian,Yes,,,,
United States,University of Washington,Cultural Studies,Persian and Iranian Studies,Yes,,,,
United States,University of Washington,Cultural Studies,"Russian Language, Literature, and Culture",Yes,,,,
United States,University of Washington,Cultural Studies,Scandinavian Area Studies,Yes,,,,
United States,University of Washington,Cultural Studies,South Asian Languages,Yes,,,,
United States,University of Washington,Cultural Studies,Spanish,Yes,,,,
United States,University of Washington,Cultural Studies,Swedish,Yes,,,,
United States,University of Washington,Cultural Studies,Turkic and Central Eurasian Studies,Yes,,,,
United States,University of Washington,Cultural Studies,Turkish and Ottoman Studies,Yes,,,,
United States,University of Wisconsin Madison,Cultural Studies,African Cultural Studies,Yes,,,,
United States,University of Wisconsin Madison,Cultural Studies,Afro-American Studies,Yes,,,,
United States,University of Wisconsin Madison,Cultural Studies,Jewish Studies,Yes,,,,
United States,University of Wisconsin Madison,Cultural Studies,"Latin American, Caribbean and Iberian Studies",Yes,,,,
United States,University of Wisconsin Madison,Cultural Studies,Scandinavian Studies,Yes,,,,
Australia,Australian National University,Curatorial Studies,Art History and Curatorship,,,,,
Australia,Australian National University,Curatorial Studies,Art History and Curatorship (Hons) ,,,,,
Australia,Australian National University,Curatorial Studies,Art History and Curating,,,,,
United States,"University of California, Davis",Curatorial Studies,"Art History, Theory, Criticism",Yes,,,,
Canada,University of Alberta,Dental Hygiene & Dental Laboratory Technology,Dental Hygiene,,,,,
Canada,University of British Columbia,Dental Hygiene & Dental Laboratory Technology,Dental Hygiene,Yes,,,,
United States,Boston University,Dental Hygiene & Dental Laboratory Technology,Dental Laboratory Technology,Yes,,,,
United States,New York University,Dental Hygiene & Dental Laboratory Technology,Dental Hygiene,Yes,,,,
United States,New York University,Dental Hygiene & Dental Laboratory Technology,Dental Laboratory Technology,Yes,,,,
United States,Ohio State University (Columbus),Dental Hygiene & Dental Laboratory Technology,Dental Hygiene,,,,,
United States,University of Michigan,Dental Hygiene & Dental Laboratory Technology,Dental Hygiene,,,,,
United States,University of Minnesota,Dental Hygiene & Dental Laboratory Technology,Dental Hygiene,Yes,,,,
United States,University of North Carolina Chapel Hill,Dental Hygiene & Dental Laboratory Technology,Dental Hygiene,Yes,,,,
United States,University of Southern California,Dental Hygiene & Dental Laboratory Technology,Dental Hygiene,,,,,
United States,Cornell University,Entomology,Entomology,Yes,,,,
United States,Michigan State University (East Lansing),Entomology,Entomology,,,,,
United States,Ohio State University (Columbus),Entomology,Entomology,,,,,
United States,Purdue University,Entomology,Entomology,,,,,
United States,"University of California, Davis",Entomology,Entomology,Yes,,,,
United States,University of Illinois at Urbana-Champaign,Entomology,Entomology (available as an Individual Plan of Study major),Yes,,,,
United States,University of Wisconsin Madison,Entomology,Entomology,Yes,,,,
Australia,Australian National University,Environmental Science,Environmental Studies Hons.,,,,,
Australia,University of Queensland,Environmental Science,Environmental Science,,,,,
Australia,University of Queensland,Environmental Science,Environmental Management Hons.,,,,,
Australia,University of Technology Sydney,Environmental Science,Environmental Biology,,,,,
Australia,University of Western Australia ,Environmental Science,Environmental Science,,,,,
Australia,University of Western Australia ,Environmental Science,Botany,,,,,
Canada,McGill University,Environmental Science,Agro-Environmental Sciences,Yes,,,,
Canada,McGill University,Environmental Science,Agricultural Economics,Yes,,,,
Canada,McGill University,Environmental Science,Atmospheric Science,Yes,,,,
Canada,McGill University,Environmental Science,Atmospheric Science & Physics,Yes,,,,
Canada,McGill University,Environmental Science,Environment,Yes,,,,
Canada,McGill University,Environmental Science,Environmental Biology,Yes,,,,
Canada,McGill University,Environmental Science,Life Sciences,Yes,,,,
Canada,McMaster University,Environmental Science,Environmental Sciences,,,,,
Canada,McMaster University,Environmental Science,Biology & Environmental Sciences Hons.,,,,,
Canada,McMaster University,Environmental Science,Earth & Environmental Sciences Hons.,,,,,
Canada,McMaster University,Environmental Science,Geography & Environmental Sciences ,,,,,
Canada,University of Alberta,Environmental Science,Conservation Biology,,,,,
Canada,University of Alberta,Environmental Science,Environmental Studies,,,,,
Canada,University of Alberta,Environmental Science,Environmental & Conservation Sciences – Native Studies,,,,,
Canada,University of Alberta,Environmental Science,Environmental Economics & Policy,,,,,
Canada,University of Alberta,Environmental Science,Human Dimensions of Environmental Management,,,,,
Canada,University of Alberta,Environmental Science,Wildlife & Rangeland Management,,,,,
Canada,University of British Columbia,Environmental Science,Environmental Sciences,Yes,,,,
Canada,University of British Columbia,Environmental Science,University of Toronto,Yes,,,,
Canada,University of British Columbia,Environmental Science,Environmental Science Hons.,Yes,,,,
Canada,University of British Columbia,Environmental Science,Environmental Studies,Yes,,,,
Canada,University of British Columbia,Environmental Science,Physical & Environmental Geography Hons.,Yes,,,,
France,Université Paris Cité (formerly Université de Paris),Environmental Science,Earth Science – Environment – Earth and the Environment,,,,,
France,Université Paris Cité (formerly Université de Paris),Environmental Science,Earth Science – Environment,,,,,
Germany,RWTH Aachen University,Environmental Science,Environmental Engineering B.Sc.,,,,,
Hong Kong SAR,Hong Kong University of Science & Technology,Environmental Science,Environmental Science,,,,,
Netherlands,University of Groningen,Environmental Science, Life Science & Technology,,,,,
Netherlands,Wageningen University & Research Center,Environmental Science,Environmental Sciences,,,,,
Singapore,Nanyang Technological University ,Environmental Science,Environmental Earth Systems Science – with Specialization in Ecology & Ecosystems,,,,,
Singapore,Nanyang Technological University ,Environmental Science,Environmental Systems Science – with Specialization in Geosciences,,,,,
Singapore,Nanyang Technological University ,Environmental Science,Environmental Systems Science – with Specialization in Society & Earth Systems,,,,,
South Korea,Seoul National University,Environmental Science,Environmental Materials Science,,,,,
South Korea,Seoul National University,Environmental Science,Forest Environmental Studies,,,,,
South Korea,Seoul National University,Environmental Science,Global Environmental Management,,,,,
Sweden,Lund University,Environmental Science,Sciences – Physical Geography & Ecosystem Science Specialization,,,,,
United States,Boston University,Environmental Science,Earth & Environmental Sciences,Yes,,,,
United States,Brown University,Environmental Science,Environmental Studies,Yes,,,,
United States,Cornell University,Environmental Science,Environmental & Sustainability Sciences,Yes,,,,
United States,Duke University,Environmental Science,Environmental Sciences,Yes,,,,
United States,Duke University,Environmental Science,Environmental Sciences & Policy,Yes,,,,
United States,Duke University,Environmental Science,Environmental Sciences & Policy – with a Marine Science Conservation Concentration,Yes,,,,
United States,Massachusetts Institute of Technology (MIT),Environmental Science,Environmental Systems,Yes,,,,
United States,Michigan State University (East Lansing),Environmental Science,Environmental Biology – Plant Biology,,,,,
United States,Michigan State University (East Lansing),Environmental Science,Environmental Biology – Microbiology,,,,,
United States,Michigan State University (East Lansing),Environmental Science,Environmental Biology – Zoology,,,,,
United States,Michigan State University (East Lansing),Environmental Science,Environmental Geography,,,,,
United States,Michigan State University (East Lansing),Environmental Science,Environmental Geosciences,,,,,
United States,Michigan State University (East Lansing),Environmental Science,Environmental Studies & Sustainability,,,,,
United States,Ohio State University (Columbus),Environmental Science,Environmental Science,,,,,
United States,Ohio State University (Columbus),Environmental Science,"Environment, Economy, Development & Sustainability",,,,,
United States,Ohio State University (Columbus),Environmental Science,Environmental Science,,,,,
United States,Ohio State University (Columbus),Environmental Science,Environmental Studies,,,,,
United States,Ohio State University (Columbus),Environmental Science,Purdue University,,,,,
United States,Ohio State University (Columbus),Environmental Science,"Ecology, Evolution, & Environmental Sciences",,,,,
United States,Ohio State University (Columbus),Environmental Science,Environmental Geosciences,,,,,
United States,Ohio State University (Columbus),Environmental Science,Natural Resources & Environmental Science: Emerging Environmental Challenges,,,,,
United States,Ohio State University (Columbus),Environmental Science,Natural Resources & Environmental Science: Environmental Policy & Analysis,,,,,
United States,Stanford University,Environmental Science,Urban Studies – Urban Sustainability Concentration,Yes,,,,
United States,"University of California, Davis",Environmental Science,Environmental Horticulture & Urban Forestry,Yes,,,,
United States,"University of California, Davis",Environmental Science,Environmental Policy Analysis & Planning,Yes,,,,
United States,"University of California, Davis",Environmental Science,Science & Management,Yes,,,,
United States,"University of California, Davis",Environmental Science,Environmental Toxicology,Yes,,,,
United States,"University of California, Davis",Environmental Science,Agricultural & Environmental Education,Yes,,,,
United States,"University of California, Irvine",Environmental Science,Environmental Science & Policy,Yes,,,,
United States,"University of California, Los Angeles",Environmental Science,Environmental Science,Yes,,,,
United States,"University of California, Los Angeles",Environmental Science,Earth & Environmental Science,Yes,,,,
United States,"University of California, Los Angeles",Environmental Science,Geography – Environmental Studies,Yes,,,,
United States,"University of California, San Diego",Environmental Science,Environmental Engineering,Yes,,,,
United States,"University of California, Santa Barbara",Environmental Science,Environmental Studies,Yes,,,,
United States,University of Chicago,Environmental Science,Environmental & Urban Studies,Yes,,,,
United States,Univesity of Colorado Boulder,Environmental Science,Environmental Engineering (BS),,,,,
United States,Univesity of Colorado Boulder,Environmental Science,Environmental Studies (BA),,,,,
United States,University of Illinois at Urbana-Champaign,Environmental Science,"Earth, Society, & Environmental Sustainability",Yes,,,,
United States,University of Illinois at Urbana-Champaign,Environmental Science,Natural Resources & Environmental Sciences,Yes,,,,
United States,"University of Maryland, College Park",Environmental Science,Environmental Science & Policy,Yes,,,,
United States,University of Minnesota,Environmental Science,"Environmental Sciences, Policy & Management",Yes,,,,
United States,"University of North Carolina, Chapel Hill",Environmental Science,Environmental Science,Yes,,,,
United States,"University of North Carolina, Chapel Hill",Environmental Science,Environmental Studies,Yes,,,,
United States,"University of North Carolina, Chapel Hill",Environmental Science,Environmental Geoscience,Yes,,,,
United States,"University of North Carolina, Chapel Hill",Environmental Science,Environmental Health Sciences,Yes,,,,
United States,University of Pennsylvania,Environmental Science,Environmental Studies,Yes,,,,
United States,University of Pittsburgh,Environmental Science,Environmental Science,,,,,
United States,University of Pittsburgh,Environmental Science,Environmental Studies,,,,,
United States,University of Southern California,Environmental Science,Environmental Science & Health,,,,,
United States,University of Southern California,Environmental Science,"Environmental Studies, Climate, Earth & Environment Concentration",,,,,
United States,University of Southern California,Environmental Science,"Environmental Studies, Sustainability, Energy & Society Concentration",,,,,
United States,University of Southern California,Environmental Science,"Environmental Studies, Oceans, Life & People Concentration",,,,,
United States,University of Southern California,Environmental Science,"Environmental Studies, Environmental Public Policy Concentration",,,,,
United States,University of Texas at Austin,Environmental Science,Environmental Science,,,,,
United States,University of Texas at Austin,Environmental Science,Geological Sciences,,,,,
United States,University of Washington,Environmental Science,Environmental Science,Yes,,,,
United States,University of Washington,Environmental Science,Environmental Health,Yes,,,,
United States,University of Wisconsin Madison,Environmental Science,Environmental Sciences,Yes,,,,
United States,University of Wisconsin Madison,Environmental Science,Community & Environmental Sociology,Yes,,,,
United States,Vanderbilt University,Environmental Science,Environmental Sociology,Yes,,,,
United States,Yale University,Environmental Science,Environmental Studies,Yes,,,,
Australia,Australian National University  ,Genetics,Genetics,,,,,
Australia,University of Western Australia,Genetics,Genetics,,,,,
Canada,McGill University,Genetics,Anatomy & Cell Biology,Yes,,,,
Canada,University of Toronto,Genetics,Cell & Molecular Biology,Yes,,,,
Canada,University of Toronto,Genetics,Genome Biology,Yes,,,,
Canada,University of Toronto,Genetics,Molecular Genetics & Microbiology,Yes,,,,
France,Université Paris Cité (formerly Université de Paris),Genetics,Life  Sciences – Genetics,,,,,
United States,Duke University,Genetics,Biology (Concentration in Genetics),Yes,,,,
United States,Michigan State University (East Lansing),Genetics,Molecular Genetics,,,,,
United States,Michigan State University (East Lansing),Genetics,Genomics & Molecular Genetics,,,,,
United States,Ohio State University (Columbus),Genetics,Molecular Genetics,,,,,
United States,Purdue University,Genetics,Genetics,,,,,
United States,Purdue University,Genetics,"Plant Genetics, Breeding & Biotechnology",,,,,
United States,"University of California, Davis",Genetics,Genetics & Genomics,Yes,,,,
United States,"University of California, Irvine",Genetics,Genetics,Yes,,,,
United States,"University of California, Los Angeles",Genetics,"Microbiology, Immunology, & Molecular Genetics",Yes,,,,
United States,"University of California, Los Angeles",Genetics,"Molecular, Cell, & Developmental Biology",Yes,,,,
United States,"University of California, Los Angeles",Genetics,Human Biology & Society,Yes,,,,
United States,"University of California, Santa Barbara",Genetics,Cell & Developmental Biology,Yes,,,,
United States,"University of Maryland, College Park",Genetics,Cell Biology & Genetics,Yes,,,,
United States,University of Minnesota,Genetics,"Genetics, Cell Biology & Development",Yes,,,,
United States,University of Wisconsin Madison,Genetics,Genetics & Genomics,Yes,,,,
United States,Yale University,Genetics,"Molecular, Cellular, & Developmental Biology",Yes,,,,
Australia,University of Western Australia,Geographic Information Systems (GIS),Human Geography & Planning,,,,,
Hong Kong SAR,Hong Kong Polytechnic University,Geographic Information Systems (GIS),Land Surveying & Geo-Informatics,,,,,
Netherlands,University of Groningen,Geographic Information Systems (GIS),Spatial Planning & Design,,,,,
United States,Massachusetts Institute of Technology (MIT),Geographic Information Systems (GIS),Geoscience,Yes,,,,
United States,Michigan State University (East Lansing),Geographic Information Systems (GIS),Geographic Information Science,,,,,
United States,Ohio State University (Columbus),Geographic Information Systems (GIS),Geographic Information Science,,,,,
United States,Purdue University,Geographic Information Systems (GIS),Environmental Geosciences,,,,,
United States,"University of California, Los Angeles",Geographic Information Systems (GIS),Atmospheric & Oceanic Sciences – Mathematics,Yes,,,,
United States,University of Illinois at Urbana-Champaign,Geographic Information Systems (GIS),Geography & Geographic Information Science,Yes,,,,
United States,University of Wisconsin Madison,Geographic Information Systems (GIS),Cartography & Geographic Information Systems,Yes,,,,
Australia,University of Adelaide,Horticulture,Viticulture & Oenology,,,,,
United States,Michigan State University (East Lansing),Horticulture,Horticulture,,,,,
United States,Ohio State University (Columbus),Horticulture,Sustainable Plant Systems ,,,,,
United States,Purdue University,Horticulture,Horticulture: Landscape Contracting & Management ,,,,,
United States,Purdue University,Horticulture,Horticulture: Landscape Enterprise Management ,,,,,
United States,Purdue University,Horticulture,Horticulture: Plant Science ,,,,,
United States,Purdue University,Horticulture,Horticulture: Public Horticulture ,,,,,
United States,Purdue University,Horticulture,Horticulture: Horticultural Production & Marketing,,,,,
United States,California Institute of Technology,Human Embryology (Developmental Biology & Embryology),Developmental Biology & Embryology,Yes,,,,
United States,Harvard University,Human Embryology (Developmental Biology & Embryology),Developmental Biology & Embryology,Yes,,,,
United States,Northwestern University,Human Embryology (Developmental Biology & Embryology),Developmental Biology & Embryology,Yes,,,,
United States,Stanford University,Human Embryology (Developmental Biology & Embryology),Developmental Biology & Embryology,Yes,,,,
United States,University of Chicago,Human Embryology (Developmental Biology & Embryology),Developmental Biology & Embryology,Yes,,,,
United States,Washington University in St. Louis,Human Embryology (Developmental Biology & Embryology),Developmental Biology & Embryology,Yes,,,,
Australia,Australian National University,International Law,Laws Hons.,,,,,
Australia,University of Adelaide,International Law,Laws,,,,,
Australia,University of Queensland,International Law,Laws Hons.,,,,,
France,Université Paris Cité (formerly Université de Paris),International Law,Law,,,,,
Germany,University of Hamburg (Universität Hamburg),International Law,Joint Study Program Bachelor of Laws (Hamburg/Istanbul) LL.B.,,,,,
Germany,University of Hamburg (Universität Hamburg),International Law,Law,,,,,
Netherlands,Leiden University,International Law,International Justice,,,,,
Netherlands,University of Groningen,International Law,International & European Law,,,,,
Singapore,National University of Singapore,International Law,Business Administration & Law,,,,,
United States,Northwestern University,International Law,Legal Studies,Yes,,,,
Canada,University of British Columbia,Marine Science,Oceanography,Yes,,,,
Germany,University of Hamburg (Universität Hamburg),Marine Science,Marine Econsystem and Fisheries Science B.Sc.,,,,,
New Zealand,University of Auckland,Marine Science,Marine Science,,,,,
New Zealand,University of Auckland,Marine Science,Marine Biology Hons.,,,,,
United States,University of Adelaide,Marine Science,Marine Biology,,,,,
United States,University of Adelaide,Marine Science,Wildlife Conservation Biology,,,,,
United States,University of New South Wales ,Marine Science,Marine Science Hons.,,,,,
United States,University of Queensland,Marine Science,Marine Science,,,,,
United States,University of Queensland,Marine Science,Marine Biology,,,,,
United States,University of Queensland,Marine Science,Wildlife Conservation Biology,,,,,
United States,University of Sydney,Marine Science,Marine Science,,,,,
United States,University of Technology Sydney,Marine Science,Marine Biology,,,,,
United States,University of Western Australia,Marine Science,Marine Science,,,,,
United States,University of Western Australia,Marine Science,Marine & Coastal Processes,,,,,
United States,University of Western Australia,Marine Science,Marine Biology,,,,,
United States,Boston University,Marine Science,Marine Science,Yes,,,,
United States,"University of California, Berkeley",Marine Science,Marine Science,Yes,,,,
United States,"University of California, Davis",Marine Science,Marine & Coastal Science – Oceans and the Earth System,Yes,,,,
United States,"University of California, Davis",Marine Science,Marine & Coastal Science – Marine Ecology & Organismal Biology,Yes,,,,
United States,"University of California, Los Angeles",Marine Science,Marine Biology,Yes,,,,
United States,"University of California, San Diego",Marine Science,Marine Biology,Yes,,,,
United States,"University of California, Santa Barbara",Marine Science,Aquatic Biology,Yes,,,,
United States,University of Maryland College Park,Marine Science,Environmental Science & Policy – Marine & Coastal Management,Yes,,,,
United States,University of Texas at Austin,Marine Science,Biology – Marine and Freshwater Biology,,,,,
United States,University of Washington,Marine Science,Marine Biology,Yes,,,,
Australia,Australian National University,Mathematics,Mathematics,,,,,
Australia,Monash University,Mathematics,Mathematics,,,,,
